[4;4] Real,1.07138e-05,2.67849e-06,-0.000108574,-0.000114257,2.9764e-05,7.71737e-05,-3.65093e-05,-7.62844e-05,1.76566e-06,-3.01509e-05,-0.00016328,-0.000116787,0.000107569,0.000171882,-2.20508e-05,-0.00018683,-0.000145487,-5.03715e-05,-3.65783e-05,-2.46922e-05,3.65136e-05,4.61762e-05,-1.1533e-05,1.19244e-05,0.000140013,0.000180969,6.35988e-05,-3.14594e-05,5.11806e-07,4.59439e-05,3.94929e-05,3.50047e-05,-1.69513e-06,-0.000119253,-0.000176108,-6.33745e-05,3.29476e-05,-6.5014e-05,-0.000199167,-0.000164526,-4.84781e-05,-1.52457e-05,-3.42417e-05,-2.5047e-05,-1.60662e-05,-3.38092e-05,-4.55483e-05,-5.01736e-05,-5.64781e-05,-1.42337e-05,8.58057e-05,0.000139245,8.86204e-05,3.47117e-05,6.74153e-05,0.000119973,0.000102485,4.29873e-05,-4.53455e-06,-5.36512e-05,-0.000100343,-8.55954e-05,-1.59362e-05,1.51945e-05,-3.74838e-05,5.94009e-05,0.000155249,0.000112128,-3.50625e-06,-7.0504e-05,-0.000107745,-0.000133521,-6.8499e-05,4.94493e-05,5.63628e-05,-2.40491e-05,-2.09637e-05,2.39762e-05,-4.52576e-05,-0.00014056,-0.000102898,-3.98558e-05,-8.9595e-05,-0.000127402,-4.51803e-05,1.29106e-05,-4.91449e-05,-9.49501e-05,-3.65042e-05,2.89428e-05,3.50548e-05,1.85239e-05,-1.52032e-05,-6.95409e-05,-6.71416e-05,3.39824e-05,0.000125786,9.59805e-05,-3.44416e-06,-5.03577e-05,-3.46379e-05,-3.61141e-05,-7.30812e-05,-8.29426e-05,-3.91627e-05,9.32881e-06,2.09315e-05,4.53536e-06,-2.21189e-05,-4.53171e-05,-3.32183e-05,2.8397e-05,8.56926e-05,6.73001e-05,-1.34528e-05,-6.12119e-05,-2.54378e-05,1.65799e-05,-3.34342e-05,-0.000124285,-0.000112717,-7.24078e-06,2.66432e-05,-4.03271e-05,-4.26213e-05,5.32078e-05,5.47496e-05,-9.39447e-05
[4;4] Imag,2.50044e-05,-5.06365e-05,-0.000137139,-4.79041e-05,7.99877e-05,2.76593e-05,-7.8612e-05,-3.83192e-05,9.75394e-06,-0.000101691,-0.000174333,-7.36526e-06,0.000177464,9.36992e-05,-0.00012771,-0.000187701,-9.08795e-05,-3.45589e-05,-3.80706e-05,4.0376e-06,5.43523e-05,1.79748e-05,-1.85044e-05,7.27169e-05,0.000183494,0.000133827,2.12814e-07,-2.67849e-05,3.02179e-05,4.58259e-05,3.5616e-05,2.72732e-05,-5.49915e-05,-0.000168257,-0.000135327,4.61023e-06,5.64436e-06,-0.000145618,-0.000204307,-0.000103144,-1.8757e-05,-2.54514e-05,-3.36024e-05,-1.68371e-05,-2.31308e-05,-4.2173e-05,-4.71087e-05,-5.49043e-05,-4.49667e-05,3.30562e-05,0.000125895,0.000123764,5.28915e-05,4.09581e-05,9.93762e-05,0.000120908,7.28575e-05,1.75151e-05,-2.70483e-05,-8.10024e-05,-0.000103301,-5.21325e-05,9.43108e-06,1.46849e-06,-1.04436e-06,0.000120162,0.000151708,5.29285e-05,-4.47403e-05,-8.83522e-05,-0.00012688,-0.000115598,-4.8639e-06,7.23935e-05,1.4801e-05,-3.74202e-05,8.89744e-06,4.93165e-06,-0.000103728,-0.000137963,-6.09574e-05,-5.30485e-05,-0.000122395,-9.67538e-05,-1.26265e-06,-7.82659e-06,-8.46725e-05,-7.55837e-05,2.98057e-06,3.83268e-05,2.73049e-05,5.31559e-06,-4.27315e-05,-8.12339e-05,-2.54626e-05,9.09687e-05,0.000127143,4.62117e-05,-3.7852e-05,-4.54775e-05,-2.93231e-05,-5.34278e-05,-8.51816e-05,-6.57937e-05,-1.16459e-05,2.01497e-05,1.47293e-05,-8.24002e-06,-3.55706e-05,-4.57556e-05,-7.11842e-06,6.29647e-05,8.82109e-05,2.94253e-05,-4.7719e-05,-5.14328e-05,3.13702e-06,4.00899e-06,-8.35155e-05,-0.000136204,-6.21313e-05,2.66489e-05,-2.84348e-06,-5.86135e-05,2.66664e-06,7.72141e-05,-1.07885e-05,-0.000158491
[4;5] Real,-1.457e-05,7.29646e-05,9.86486e-05,4.3716e-06,-6.66332e-05,-2.12881e-05,3.62212e-05,1.00244e-05,-2.43286e-05,2.40821e-05,0.000100478,0.00011443,8.37344e-05,6.6827e-05,5.80766e-05,3.21487e-05,2.49411e-06,-1.99099e-05,-4.71994e-05,-6.75421e-05,-5.1897e-05,-1.43453e-05,1.39144e-06,-8.50542e-06,-4.16562e-06,4.03948e-05,0.000101324,0.000115634,4.29474e-05,-6.03847e-05,-8.82469e-05,-4.5237e-05,-4.89983e-05,-0.000108003,-7.09368e-05,8.69544e-05,0.000147574,-2.50453e-06,-0.000145689,-7.93802e-05,5.24351e-05,3.25225e-05,-5.71581e-05,-2.23797e-05,8.21473e-05,6.90167e-05,-4.6329e-05,-8.71064e-05,-9.94358e-06,4.86225e-05,-4.65985e-06,-8.84215e-05,-7.09522e-05,2.83191e-05,4.43136e-05,-8.34831e-05,-0.000179434,-8.91683e-05,5.33571e-05,3.37359e-05,-8.44565e-05,-8.31441e-05,2.80147e-05,5.44505e-05,1.5972e-05,-1.48052e-06,1.22735e-05,7.01262e-05,0.000134856,0.000124018,2.2339e-05,-6.73418e-05,-6.73727e-05,-3.44809e-05,-2.87558e-05,-4.23571e-06,5.45339e-05,5.49619e-05,-1.93199e-05,-3.77713e-05,4.14242e-05,6.90499e-05,-4.23221e-05,-0.000158818,-0.000136336,-2.9075e-05,2.19744e-05,-9.09973e-06,-4.13714e-05,-2.38712e-05,2.15062e-05,5.35649e-05,4.14689e-05,-2.01102e-05,-7.24884e-05,-3.84076e-05,4.73786e-05,7.12861e-05,4.13223e-05,6.96313e-05,0.00013013,8.63125e-05,-2.72206e-05,-4.65836e-05,1.86361e-05,3.49827e-05,1.97321e-05,5.51463e-05,6.54538e-05,-3.00599e-05,-0.000122865,-0.000109556,-6.35281e-05,-5.67919e-05,-5.2588e-05,-4.69659e-05,-7.30774e-05,-7.73769e-05,-1.33941e-05,3.33257e-05,-2.09737e-06,-3.89618e-05,-1.4692e-05,9.4965e-06,-1.07912e-05,-3.28754e-05,-2.16304e-05,1.88826e-05
[4;5] Imag,2.54674e-05,0.000102715,6.06897e-05,-4.4752e-05,-5.57337e-05,1.57931e-05,3.2548e-05,-1.47857e-05,-1.04849e-05,6.63927e-05,0.000116904,9.99167e-05,7.22888e-05,6.38892e-05,4.71428e-05,1.62129e-05,-8.89644e-06,-3.25995e-05,-6.04287e-05,-6.48252e-05,-3.29733e-05,-1.93789e-06,-2.36876e-06,-1.08597e-05,1.32494e-05,7.24781e-05,0.000118482,8.90252e-05,-1.21636e-05,-8.73015e-05,-6.88602e-05,-3.58482e-05,-7.95047e-05,-0.00010964,3.00492e-06,0.000144254,9.16687e-05,-9.44128e-05,-0.000137783,-3.30079e-06,6.42543e-05,-1.89318e-05,-5.91603e-05,3.4662e-05,9.59178e-05,1.32112e-05,-8.41819e-05,-5.69886e-05,3.11297e-05,3.49162e-05,-5.24582e-05,-9.65375e-05,-2.22514e-05,5.66269e-05,-8.61019e-06,-0.000150606,-0.000155787,-7.41882e-06,6.76553e-05,-2.81529e-05,-0.000105819,-2.92683e-05,6.03412e-05,1.63488e-05,4.70438e-06,-1.62167e-07,3.62846e-05,0.000107031,0.000142831,7.97002e-05,-3.1618e-05,-7.74749e-05,-4.91237e-05,-2.93374e-05,-2.2679e-05,2.54656e-05,6.7343e-05,2.05779e-05,-4.33574e-05,-3.704e-06,7.23131e-05,2.64936e-05,-0.000112459,-0.00016638,-8.36044e-05,8.89665e-06,1.26119e-05,-3.01788e-05,-3.88424e-05,-1.97012e-06,4.16164e-05,5.44527e-05,1.46446e-05,-5.33785e-05,-6.74397e-05,5.45073e-06,7.09002e-05,5.58781e-05,4.47095e-05,0.000104958,0.000125247,2.7406e-05,-5.4336e-05,-1.53742e-05,3.69469e-05,2.39064e-05,3.17229e-05,7.24463e-05,2.8059e-05,-8.74762e-05,-0.000128037,-8.28804e-05,-5.64924e-05,-5.71043e-05,-4.64941e-05,-5.71087e-05,-8.3991e-05,-5.09371e-05,1.9887e-05,2.30484e-05,-2.75299e-05,-3.22342e-05,2.57394e-06,3.16264e-06,-2.49012e-05,-3.14925e-05,-4.45289e-06,4.48635e-05
[5;1] Real,5.55569e-05,2.49346e-05,1.72671e-05,-3.50148e-05,-0.000141736,-0.000146694,3.04301e-07,0.00010453,5.39369e-05,1.05812e-05,9.27762e-05,0.000161158,9.22373e-05,-1.25372e-05,-2.97563e-05,6.82973e-06,1.69441e-05,-1.12165e-05,-4.81114e-05,-6.01673e-05,-4.16367e-05,-4.04794e-05,-8.19769e-05,-9.41129e-05,-1.31205e-05,9.41718e-05,0.000115394,3.22213e-05,-8.56971e-05,-0.000146859,-9.11956e-05,3.34189e-05,8.96122e-05,2.93793e-05,-3.90756e-05,-3.94697e-05,-3.62705e-05,-6.91913e-05,-5.42852e-05,4.27724e-05,0.000104001,4.44135e-05,-4.81821e-05,-6.51388e-05,-3.24792e-05,-1.36921e-05,1.00594e-05,5.79043e-05,7.55751e-05,4.57372e-05,3.83937e-05,6.23148e-05,2.86611e-05,-5.74574e-05,-7.18302e-05,-1.25911e-05,-2.70431e-05,-0.000129733,-0.000161196,-8.23011e-05,-2.92705e-05,-4.25085e-05,-1.93746e-05,5.43295e-05,4.9457e-05,-1.77541e-05,-2.44377e-05,4.99366e-05,5.15145e-05,-6.02583e-05,-0.000121486,-4.20044e-05,3.24028e-05,-3.56759e-05,-0.000145999,-0.000142115,-7.41024e-05,-7.85734e-05,-0.000111047,-3.0321e-05,0.000117859,0.000143542,2.10182e-05,-7.25131e-05,-4.47542e-05,-2.84705e-06,-2.45195e-05,-1.54801e-05,9.18539e-05,0.000167832,8.23836e-05,-5.37473e-05,-4.84043e-05,6.45275e-05,0.000103276,4.49209e-05,1.09133e-05,2.0491e-05,2.93398e-06,-2.49599e-05,-1.43211e-05,-9.93528e-06,-4.1321e-05,-3.7493e-05,1.52643e-05,1.92263e-05,-4.15423e-05,-6.24182e-05,-1.58968e-05,1.63036e-05,7.52133e-06,4.8902e-06,1.90702e-05,2.43197e-05,1.21783e-05,-1.99379e-05,-6.39578e-05,-8.10194e-05,-5.69343e-05,-3.58965e-05,-4.3031e-05,-4.55481e-05,-2.52747e-05,-7.19631e-06,-3.52074e-06,-8.18359e-07,6.83698e-06,1.99368e-05
[5;1] Imag,3.83529e-05,2.0263e-05,1.85584e-06,-8.92272e-05,-0.000166852,-8.33868e-05,7.19248e-05,9.25986e-05,1.76441e-05,4.05963e-05,0.000141461,0.00014142,3.35789e-05,-3.30437e-05,-1.22232e-05,1.74818e-05,6.19443e-06,-3.07863e-05,-5.87403e-05,-5.26656e-05,-3.5549e-05,-5.83533e-05,-9.76803e-05,-6.44605e-05,4.49582e-05,0.000119981,8.38931e-05,-2.85988e-05,-0.000128717,-0.000133611,-2.94878e-05,7.73274e-05,6.97256e-05,-1.23126e-05,-4.60858e-05,-3.22248e-05,-5.18438e-05,-7.41835e-05,-1.06966e-05,8.73377e-05,8.67471e-05,-7.14045e-06,-6.7091e-05,-4.96869e-05,-2.11058e-05,-5.24083e-06,3.35082e-05,7.40478e-05,6.30154e-05,3.54085e-05,5.14356e-05,5.68541e-05,-1.51634e-05,-7.94302e-05,-4.27837e-05,-3.27389e-06,-7.645e-05,-0.000163059,-0.000127987,-4.48205e-05,-3.36254e-05,-4.05577e-05,1.72292e-05,7.85223e-05,1.86503e-05,-3.58334e-05,1.08809e-05,6.83938e-05,2.12988e-06,-0.000108711,-9.42781e-05,9.21247e-06,1.49622e-05,-9.84436e-05,-0.00016036,-0.000105674,-6.49139e-05,-0.00010155,-8.80281e-05,4.73375e-05,0.000154246,9.16552e-05,-4.05964e-05,-6.98604e-05,-1.66112e-05,-9.02011e-06,-3.20816e-05,3.0397e-05,0.000145713,0.000144056,6.46751e-06,-7.34191e-05,6.16683e-06,0.000100609,7.90622e-05,1.9282e-05,1.51846e-05,1.71016e-05,-1.46817e-05,-2.365e-05,-6.40317e-06,-2.45992e-05,-4.87003e-05,-1.14766e-05,2.87621e-05,-9.38493e-06,-6.2579e-05,-4.26858e-05,6.32633e-06,1.40717e-05,3.34059e-06,1.16614e-05,2.36964e-05,2.04718e-05,-1.12695e-06,-4.2545e-05,-7.81635e-05,-7.21305e-05,-4.31306e-05,-3.71289e-05,-4.70156e-05,-3.74244e-05,-1.44909e-05,-3.84565e-06,-2.79299e-06,2.08859e-06,1.26338e-05,2.98681e-05
[5;2] Real,-6.63032e-05,-6.50935e-05,-2.13178e-05,2.53965e-06,4.26374e-05,7.26309e-05,2.86983e-05,-1.52254e-05,2.84298e-05,6.64377e-05,-3.15173e-06,-9.37977e-05,-0.000100982,-6.68764e-05,-4.49546e-05,-2.01025e-05,-2.11993e-05,-9.03963e-05,-0.000151794,-0.000121396,-7.0441e-05,-8.77697e-05,-0.000111795,-7.03413e-05,-2.19044e-05,-1.45203e-05,1.41763e-05,8.43499e-05,0.000106873,5.4277e-05,2.27829e-05,5.35023e-05,5.06478e-05,-4.45661e-05,-0.000126899,-8.13938e-05,1.56521e-05,1.52002e-06,-9.13407e-05,-6.58633e-05,9.17904e-05,0.000160135,6.45279e-05,-6.40554e-06,2.33035e-05,-2.51521e-06,-0.000103707,-9.41383e-05,2.87855e-05,6.1834e-05,-6.57017e-06,-1.6312e-05,7.26959e-06,-4.72827e-05,-7.31262e-05,4.24346e-05,0.000129541,3.72946e-05,-6.18973e-05,2.99512e-06,8.78233e-05,2.75888e-05,-5.96795e-05,-9.68945e-06,8.01004e-05,7.94422e-05,-5.95944e-05,-0.00013773,-4.55496e-05,7.82666e-05,7.43503e-05,-1.18294e-05,-5.50763e-05,-5.14399e-05,-6.23764e-05,-8.03462e-05,-6.43797e-05,-2.10408e-05,1.90374e-05,3.71528e-05,2.20117e-05,-1.20415e-05,-2.68677e-05,-2.34359e-05,-3.91662e-05,-5.81557e-05,-2.6156e-05,3.03665e-05,2.44819e-05,-4.46978e-05,-9.05249e-05,-7.44292e-05,-2.83787e-05,2.32391e-05,5.82101e-05,3.21137e-05,-4.30431e-05,-7.65342e-05,-4.24956e-05,-3.52482e-05,-9.01363e-05,-8.93135e-05,3.68901e-05,0.000158867,0.0001338,1.53476e-05,-4.9401e-05,-1.94382e-05,4.5111e-05,8.87725e-05,9.27087e-05,6.74452e-05,2.92002e-05,-3.7822e-05,-0.000130948,-0.000155054,-4.61904e-05,6.65847e-05,2.92748e-05,-6.9009e-05,-4.50018e-05,5.26631e-05,5.29157e-05,-7.37672e-06,2.27737e-05,8.50939e-05,1.34412e-05,-0.000122896
[5;2] Imag,-7.84511e-05,-4.14897e-05,-8.01653e-06,1.88316e-05,6.45532e-05,5.92515e-05,-2.05788e-06,-2.71102e-06,5.83527e-05,4.35885e-05,-5.55171e-05,-0.000107777,-8.378e-05,-5.51748e-05,-3.28137e-05,-1.27364e-05,-4.95279e-05,-0.000130149,-0.00014672,-9.02641e-05,-7.14484e-05,-0.000105951,-9.80241e-05,-4.13796e-05,-1.52615e-05,-7.32964e-06,4.82507e-05,0.000107188,8.55725e-05,2.92204e-05,3.4293e-05,6.40261e-05,1.11938e-05,-9.79388e-05,-0.00012024,-2.73038e-05,2.69129e-05,-4.73594e-05,-0.000102013,8.35781e-06,0.000149894,0.000123888,1.36123e-05,3.75942e-06,2.63755e-05,-5.49305e-05,-0.000121352,-3.38268e-05,6.51155e-05,2.90455e-05,-2.34498e-05,1.61095e-06,-1.16192e-05,-7.64446e-05,-2.80751e-05,0.000105599,0.000101528,-2.83372e-05,-4.76867e-05,5.84998e-05,7.51089e-05,-2.69996e-05,-5.34918e-05,5.08303e-05,0.000103466,1.63919e-05,-0.000118806,-0.000108632,2.56983e-05,9.4356e-05,3.25278e-05,-4.26817e-05,-5.46644e-05,-5.33717e-05,-7.38393e-05,-7.74648e-05,-4.37379e-05,5.91914e-07,3.14525e-05,3.42365e-05,5.03738e-06,-2.38888e-05,-2.48471e-05,-2.74582e-05,-5.24513e-05,-4.98939e-05,5.11051e-06,3.8478e-05,-7.29076e-06,-7.5083e-05,-8.89556e-05,-5.31622e-05,-2.25505e-06,4.57216e-05,5.41214e-05,-4.29671e-06,-6.96551e-05,-6.37464e-05,-2.96045e-05,-5.96846e-05,-0.000105371,-3.79469e-05,0.000110723,0.000166363,7.62272e-05,-2.97378e-05,-4.35224e-05,1.26303e-05,7.17416e-05,9.58999e-05,8.18557e-05,5.00188e-05,1.41985e-06,-8.52238e-05,-0.000159609,-0.000113445,2.31998e-05,6.73744e-05,-2.62626e-05,-7.60975e-05,6.94723e-06,6.93944e-05,1.9227e-05,-6.93696e-06,6.24291e-05,6.96736e-05,-6.15563e-05,-0.000143552
[5;3] Real,-3.09396e-05,-3.46929e-05,-7.44978e-05,-0.000106527,-5.7463e-05,4.46003e-05,0.000103581,9.78259e-05,8.59508e-05,7.78588e-05,1.35207e-05,-9.82724e-05,-0.000133143,-2.17448e-05,0.000117407,0.0001184,-9.90057e-06,-0.000113504,-0.00012058,-0.000109262,-0.000131711,-0.00011795,-2.74923e-05,4.64726e-05,3.38684e-05,1.31833e-05,5.51434e-05,7.81443e-05,6.34587e-07,-8.86121e-05,-6.18892e-05,4.44457e-05,9.95149e-05,7.70855e-05,4.86952e-05,2.88082e-05,-2.32716e-05,-6.60914e-05,-8.21074e-06,0.000109364,0.000140441,6.72039e-05,1.52915e-05,1.97817e-05,-9.22264e-06,-7.64505e-05,-8.0045e-05,-7.82146e-06,4.56067e-05,4.61496e-05,4.07594e-05,5.18881e-05,7.63783e-05,0.000121557,0.0001569,0.000119505,2.09897e-05,-4.74737e-05,-4.02494e-05,2.1516e-06,3.118e-05,3.07094e-05,4.77884e-06,-2.07399e-05,8.84273e-05,3.10553e-05,1.462e-05,9.3425e-05,0.000113238,1.71226e-06,-9.28032e-05,-7.80352e-05,-7.0325e-05,-0.00013772,-0.000150387,-4.42574e-05,1.3226e-05,-8.72355e-05,-0.000165188,-4.05668e-05,0.000138502,0.000128971,-1.01306e-05,-5.36974e-05,2.19022e-06,9.34158e-06,-1.51673e-05,2.89488e-05,6.46788e-05,-1.83224e-05,-0.000108068,-5.85546e-05,3.26394e-05,9.27446e-06,-6.01847e-05,-3.35254e-05,4.17789e-05,3.33463e-05,-4.74077e-05,-8.71081e-05,-4.01867e-05,4.22343e-05,8.2775e-05,4.41428e-05,-2.5939e-05,-3.78324e-05,2.20456e-05,8.03624e-05,9.49878e-05,8.77643e-05,6.21328e-05,3.48314e-07,-6.84764e-05,-9.88128e-05,-9.64617e-05,-8.05013e-05,-4.02747e-05,1.56196e-05,5.0893e-05,6.70594e-05,8.3996e-05,7.30061e-05,1.92048e-05,-2.05748e-06,6.26094e-05,0.000125187,7.87685e-05,-3.17681e-05
[5;3] Imag,-3.01081e-05,-5.02746e-05,-9.70369e-05,-9.3704e-05,-6.86427e-06,8.38634e-05,0.00010549,8.96411e-05,8.49623e-05,5.5227e-05,-4.27333e-05,-0.00013323,-9.2653e-05,5.64798e-05,0.000140453,6.18295e-05,-7.40334e-05,-0.000126259,-0.00011051,-0.000118929,-0.000135225,-7.85267e-05,1.91267e-05,4.87691e-05,1.72596e-05,2.82261e-05,7.69361e-05,5.06943e-05,-5.25957e-05,-9.25572e-05,-9.99866e-06,8.42967e-05,9.37165e-05,5.98286e-05,4.09018e-05,7.25367e-06,-5.28253e-05,-5.16406e-05,5.2483e-05,0.000141868,0.000110063,3.19367e-05,1.50694e-05,1.40128e-05,-4.37626e-05,-9.12756e-05,-4.82744e-05,2.67647e-05,5.0088e-05,4.1051e-05,4.48979e-05,6.21762e-05,9.63871e-05,0.000144862,0.000149609,7.24282e-05,-2.22851e-05,-5.16772e-05,-1.99167e-05,1.9634e-05,3.52835e-05,1.99549e-05,-1.07642e-05,-2.44994e-05,6.57956e-05,7.99025e-06,4.93971e-05,0.000121341,6.75853e-05,-5.87923e-05,-9.49575e-05,-6.40608e-05,-9.95996e-05,-0.0001606,-0.000105857,3.8893e-06,-2.23854e-05,-0.000146509,-0.000127157,6.17543e-05,0.000162408,5.94825e-05,-5.13565e-05,-2.76871e-05,1.60827e-05,-7.41338e-06,-1.54166e-06,5.82028e-05,3.6403e-05,-7.52213e-05,-0.000100801,-5.22662e-06,3.72012e-05,-3.10592e-05,-6.16037e-05,7.92767e-06,5.21421e-05,-5.24147e-06,-7.82524e-05,-7.25599e-05,1.63893e-06,7.16226e-05,7.26381e-05,6.90364e-06,-4.29901e-05,-1.27896e-05,5.60023e-05,9.20051e-05,9.29401e-05,7.91339e-05,3.49189e-05,-3.69097e-05,-8.89234e-05,-9.99749e-05,-9.07705e-05,-6.37689e-05,-1.18213e-05,3.68181e-05,5.96394e-05,7.61713e-05,8.44591e-05,4.86317e-05,-1.27734e-06,2.15413e-05,0.000102961,0.000117417,2.31136e-05,-6.99906e-05
[5;4] Real,-5.38651e-05,-7.11768e-05,-5.53049e-05,-5.50596e-05,-5.80953e-05,-4.05624e-05,-1.55199e-05,-1.14603e-05,-3.28271e-05,-4.70629e-05,-2.08813e-05,2.83443e-05,4.96934e-05,2.5172e-05,-2.17871e-05,-7.27311e-05,-0.000125703,-0.000168796,-0.000174738,-0.000130575,-7.01683e-05,-5.55174e-05,-0.000100809,-0.00014558,-0.000138694,-0.000101272,-6.69353e-05,-2.64692e-05,2.02056e-05,2.807e-05,-1.89876e-05,-5.25648e-05,-3.40531e-06,8.43843e-05,9.72508e-05,1.91256e-05,-3.72654e-05,-7.38595e-06,3.6034e-05,3.89215e-05,5.49512e-05,9.06554e-05,5.44559e-05,-4.20454e-05,-5.41119e-05,3.33788e-05,5.82635e-05,-2.55461e-05,-6.54037e-05,7.86921e-06,6.62005e-05,2.43033e-05,-2.78347e-05,-8.34304e-06,1.93562e-05,-1.76811e-05,-5.68576e-05,-3.4663e-06,9.2049e-05,9.64315e-05,1.2376e-05,-2.37802e-05,1.92626e-05,1.28276e-05,-2.44823e-06,-3.77413e-05,5.62891e-05,0.000156943,8.20803e-05,-7.22583e-05,-7.69863e-05,2.00565e-05,-4.31393e-06,-0.000118898,-0.000116738,-3.64834e-05,-8.17185e-05,-0.000207635,-0.000193501,-3.77959e-05,6.73323e-05,5.33655e-05,-2.50379e-06,-4.65562e-05,-4.81824e-05,2.44203e-05,0.000107024,7.57076e-05,-5.45053e-05,-0.000130393,-8.62564e-05,-8.28579e-06,2.97457e-05,4.24976e-05,5.00778e-05,4.77594e-05,4.18137e-05,2.56946e-05,-2.38862e-05,-6.45366e-05,-1.40926e-05,8.47405e-05,9.10949e-05,1.35191e-05,1.52868e-05,0.00011152,0.000120811,-5.79793e-06,-8.91067e-05,-4.01722e-05,7.34432e-06,-3.15847e-05,-5.78661e-05,-3.11092e-06,5.82978e-05,7.02394e-05,6.44355e-05,4.7409e-05,-1.08244e-06,-3.21623e-05,2.77785e-06,3.55989e-05,-8.57639e-06,-6.29091e-05,-3.38877e-05,2.9349e-05,2.84866e-05,-1.36189e-05
[5;4] Imag,-7.09813e-05,-6.29506e-05,-5.27475e-05,-5.84633e-05,-5.17345e-05,-2.7068e-05,-9.9816e-06,-2.00508e-05,-4.33955e-05,-3.98274e-05,3.99268e-06,4.54575e-05,4.20044e-05,2.36671e-06,-4.66531e-05,-9.90031e-05,-0.000150446,-0.000178,-0.00015776,-9.86594e-05,-5.43082e-05,-7.29734e-05,-0.000128155,-0.000148997,-0.000120474,-8.34422e-05,-4.90838e-05,-1.50868e-06,3.22664e-05,8.42146e-06,-4.36798e-05,-3.83085e-05,4.29721e-05,0.000104756,6.42611e-05,-1.91357e-05,-3.10764e-05,1.88757e-05,4.08854e-05,4.14004e-05,7.54769e-05,8.58401e-05,5.17029e-06,-6.56956e-05,-1.3825e-05,6.26443e-05,2.23479e-05,-6.06124e-05,-3.75512e-05,4.8288e-05,5.52234e-05,-8.43066e-06,-2.6282e-05,1.12614e-05,8.69861e-06,-4.48158e-05,-4.32872e-05,4.8322e-05,0.000110813,5.72446e-05,-1.88488e-05,-5.44206e-06,3.02976e-05,-3.39204e-05,-3.35233e-05,-5.20114e-06,0.000120984,0.000143367,-2.13943e-06,-9.89822e-05,-2.56997e-05,2.95794e-05,-6.44594e-05,-0.000138319,-7.23976e-05,-3.76906e-05,-0.000149057,-0.000226305,-0.00012208,3.10435e-05,7.15587e-05,2.53818e-05,-2.72568e-05,-5.53576e-05,-2.06567e-05,7.31787e-05,0.000109985,1.39457e-05,-0.000107942,-0.00011959,-4.46362e-05,1.57796e-05,3.74183e-05,4.74345e-05,4.96723e-05,4.46925e-05,3.73554e-05,4.63994e-06,-5.17424e-05,-5.21249e-05,3.86677e-05,0.000104524,5.3116e-05,-2.96032e-06,6.13342e-05,0.000137031,6.60042e-05,-6.47658e-05,-7.59304e-05,-5.81954e-06,-4.91752e-06,-5.45271e-05,-3.7787e-05,3.28879e-05,6.90601e-05,6.76213e-05,5.9695e-05,2.55653e-05,-2.40818e-05,-2.09072e-05,2.65799e-05,2.18921e-05,-4.23367e-05,-5.91396e-05,8.22755e-07,3.89309e-05,6.6718e-06,-1.98727e-05
[5;5] Real,0.000141344,3.80695e-05,-5.0443e-05,9.66496e-06,6.82228e-05,2.09296e-05,1.24082e-05,0.000105727,0.000124814,4.26084e-06,-5.64151e-05,5.20662e-05,0.000148908,6.83138e-05,-8.02357e-05,-9.85933e-05,1.56122e-05,0.000101692,7.76289e-05,2.64726e-05,2.7382e-05,2.02745e-05,-5.67976e-05,-0.000108892,-4.2631e-05,2.39847e-05,-5.60972e-05,-0.000172914,-0.000125038,3.28304e-05,9.16128e-05,3.70982e-05,1.7324e-05,5.28215e-05,4.06324e-05,-2.46824e-05,-5.05519e-05,-1.07681e-05,3.93711e-05,5.43053e-05,2.08628e-05,-4.17171e-05,-7.89437e-05,-7.28842e-05,-8.07684e-05,-0.000118634,-0.000103185,-1.12013e-05,4.03924e-05,-1.13548e-05,-5.84988e-05,-1.61535e-05,3.08879e-05,-5.30231e-06,-5.39196e-05,-1.55348e-05,5.85236e-05,4.42652e-05,-5.8914e-05,-0.000135985,-0.000142276,-0.000145895,-0.000165971,-0.000128048,3.43793e-05,6.62583e-05,7.77461e-05,5.75571e-06,-1.04451e-05,8.44109e-05,8.20449e-05,-8.8985e-05,-0.000151319,2.00957e-05,0.000129853,6.15923e-06,-9.07119e-05,1.67577e-06,4.64833e-05,-8.9332e-05,-0.000158916,-1.20377e-05,0.000127507,7.05669e-05,-4.84753e-05,-5.1882e-05,2.34304e-05,6.18036e-05,4.12668e-05,3.09728e-07,-3.06368e-05,-3.66445e-05,-2.62453e-05,-2.53528e-05,-3.93431e-05,-4.47149e-05,-2.2088e-05,1.22882e-05,4.40568e-06,-7.09727e-05,-0.00012985,-6.80422e-05,4.76393e-05,4.84544e-05,-5.32181e-05,-8.60516e-05,-3.57395e-05,-4.35389e-05,-9.64284e-05,-5.66265e-05,2.89182e-05,2.75698e-06,-8.07905e-05,-5.93851e-05,1.0176e-05,-2.67214e-05,-0.000102669,-6.71199e-05,2.09338e-07,-5.15254e-05,-0.000123104,-4.39846e-05,7.38523e-05,1.8078e-05,-0.000121799,-0.000110171,1.29597e-06,-1.20506e-05
